USDA Farm Production Region,State
Pacific,Washington
Pacific,Oregon
Pacific,California
Mountain ,Idaho
Mountain ,Montana
Mountain ,Wyoming
Mountain ,Nevada
Mountain ,Utah
Mountain ,Colorado
Mountain ,Arizona
Mountain ,New Mexico
Northern Plains,North Dakota
Northern Plains,South Dakota
Northern Plains,Nebraska
Northern Plains,Kansas
Southern Plains,Oklahoma
Southern Plains,Texas
Lake States,Minnesota
Lake States,Michigan
Lake States,Wisconsin
Corn Belt,Iowa
Corn Belt,Missouri
Corn Belt,Illinois
Corn Belt,Ohio
Corn Belt,Indiana
Delta States,Mississippi
Delta States,Louisiana
Delta States,Arkansas
Appalachian,Tennessee
Appalachian,North Carolina
Appalachian,Kentucky
Appalachian,West Virginia
Appalachian,Virginia
Southeast,Alabama
Southeast,Georgia
Southeast,Florida
Southeast,South Carolina
Northeast,Maine
Northeast,Vermont
Northeast,New Hampshire
Northeast,New Jersey
Northeast,New York
Northeast,Rhode Island
Northeast,Maryland
Northeast,Pennsylvania
Northeast,Delaware
Northeast,Massachusetts
Northeast,Connecticut
