"","year","month","monthYear","state","CharacteristicName","hasStateReg","firstRegYear","currentRegYear","USDARegion","avgValue"
"1",2000,1,Jan 2000,"AZ","Nitrate",FALSE,1972,2023,"Mountain",1.73375
"2",2000,1,Jan 2000,"AZ","Nitrogen",FALSE,1972,2023,"Mountain",0.57
"3",2000,1,Jan 2000,"CA","Nitrogen",TRUE,1918,2018,"Pacific",7.90849099564516
"4",2000,1,Jan 2000,"CO","Nitrogen",TRUE,2015,2015,"Mountain",0.26
"5",2000,1,Jan 2000,"CT","Nitrogen",FALSE,NA,NA,"Northeast",0.215500005
"6",2000,1,Jan 2000,"IA","Nitrate",FALSE,NA,NA,"Corn Belt",7.88888888888889
"7",2000,1,Jan 2000,"ID","Nitrogen",TRUE,1988,2023,"Mountain",3.78
"8",2000,1,Jan 2000,"KS","Nitrate",FALSE,NA,NA,"Northern Plains",1.13702702702703
"9",2000,1,Jan 2000,"KS","Nitrite",FALSE,NA,NA,"Northern Plains",0.07
"10",2000,1,Jan 2000,"MD","Nitrogen",TRUE,2002,2016,"Northeast",1.68622448598131
"11",2000,1,Jan 2000,"MO","Nitrate",FALSE,NA,NA,"Corn Belt",10.5
"12",2000,1,Jan 2000,"MO","Nitrite",FALSE,NA,NA,"Corn Belt",0.05
"13",2000,1,Jan 2000,"NV","Nitrogen",TRUE,2004,2022,"Mountain",1.18655172413793
"14",2000,1,Jan 2000,"NY","Nitrogen",FALSE,NA,NA,"Northeast",0.9387499975
"15",2000,1,Jan 2000,"OH","Nitrite",FALSE,NA,NA,"Corn Belt",0.0881818181818182
"16",2000,1,Jan 2000,"PA","Nitrogen",TRUE,1975,2012,"Northeast",0.848492857142857
"17",2000,1,Jan 2000,"TX","Nitrogen",TRUE,1997,2009,"Southern Plains",1.88225454545455
"18",2000,1,Jan 2000,"VA","Nitrogen",TRUE,2008,2022,"Appalachian",1.286
"19",2000,1,Jan 2000,"VT","Nitrogen",FALSE,NA,NA,"Northeast",0.77
"20",2000,1,Jan 2000,"WA","Nitrogen",TRUE,2018,2018,"Pacific",0.24
"21",2000,1,Jan 2000,"WV","Nitrate",FALSE,NA,NA,"Appalachian",0.81856
"22",2000,1,Jan 2000,"WV","Nitrite",FALSE,NA,NA,"Appalachian",0.00459285714285714
"23",2000,1,Jan 2000,"WV","Nitrogen",FALSE,NA,NA,"Appalachian",0.667552127659575
"24",2000,2,Feb 2000,"AZ","Nitrate",FALSE,1972,2023,"Mountain",3.56
"25",2000,2,Feb 2000,"CA","Nitrogen",TRUE,1918,2018,"Pacific",10.3493090690476
"26",2000,2,Feb 2000,"CO","Nitrogen",TRUE,2015,2015,"Mountain",0.145
"27",2000,2,Feb 2000,"CT","Nitrogen",FALSE,NA,NA,"Northeast",0.234999999
"28",2000,2,Feb 2000,"DE","Nitrogen",TRUE,1975,2014,"Northeast",4.101
"29",2000,2,Feb 2000,"IA","Nitrate",FALSE,NA,NA,"Corn Belt",6.98648648648649
"30",2000,2,Feb 2000,"IA","Nitrite",FALSE,NA,NA,"Corn Belt",0
"31",2000,2,Feb 2000,"ID","Nitrogen",TRUE,1988,2023,"Mountain",4.285
"32",2000,2,Feb 2000,"KS","Nitrate",FALSE,NA,NA,"Northern Plains",1.38177083333333
"33",2000,2,Feb 2000,"KS","Nitrite",FALSE,NA,NA,"Northern Plains",0.0766666666666667
"34",2000,2,Feb 2000,"MD","Nitrogen",TRUE,2002,2016,"Northeast",1.91802020348837
"35",2000,2,Feb 2000,"MN","Nitrogen",TRUE,2010,2010,"Lake States",0.948333333333333
"36",2000,2,Feb 2000,"MO","Nitrate",FALSE,NA,NA,"Corn Belt",4.90230769230769
"37",2000,2,Feb 2000,"MO","Nitrite",FALSE,NA,NA,"Corn Belt",0.0714285714285714
"38",2000,2,Feb 2000,"MO","Nitrogen",FALSE,NA,NA,"Corn Belt",16.9825
"39",2000,2,Feb 2000,"NV","Nitrogen",TRUE,2004,2022,"Mountain",0.8361875
"40",2000,2,Feb 2000,"NY","Nitrogen",FALSE,NA,NA,"Northeast",1.33866666575
"41",2000,2,Feb 2000,"OH","Nitrite",FALSE,NA,NA,"Corn Belt",0.0576086956521739
"42",2000,2,Feb 2000,"OK","Nitrogen",TRUE,2012,2012,"Southern Plains",4.6
"43",2000,2,Feb 2000,"PA","Nitrogen",TRUE,1975,2012,"Northeast",1.83871111111111
"44",2000,2,Feb 2000,"SD","Nitrate",FALSE,NA,NA,"Northern Plains",0.1
"45",2000,2,Feb 2000,"TX","Nitrogen",TRUE,1997,2009,"Southern Plains",1.66896610169492
"46",2000,2,Feb 2000,"VT","Nitrate",FALSE,NA,NA,"Northeast",0.095
"47",2000,2,Feb 2000,"VT","Nitrogen",FALSE,NA,NA,"Northeast",1.31666666666667
"48",2000,2,Feb 2000,"WI","Nitrate",FALSE,NA,NA,"Lake States",0.670833333333333
"49",2000,2,Feb 2000,"WV","Nitrate",FALSE,NA,NA,"Appalachian",0.89946875
"50",2000,2,Feb 2000,"WV","Nitrite",FALSE,NA,NA,"Appalachian",0.00572142857142857
"51",2000,2,Feb 2000,"WV","Nitrogen",FALSE,NA,NA,"Appalachian",0.760415217391304
"52",2000,3,Mar 2000,"AR","Nitrate",FALSE,NA,NA,"Delta States",0.486
"53",2000,3,Mar 2000,"AR","Nitrite",FALSE,NA,NA,"Delta States",0.0365
"54",2000,3,Mar 2000,"AR","Nitrogen",FALSE,NA,NA,"Delta States",1
"55",2000,3,Mar 2000,"AZ","Nitrate",FALSE,1972,2023,"Mountain",2.9
"56",2000,3,Mar 2000,"CA","Nitrogen",TRUE,1918,2018,"Pacific",11.0471114228125
"57",2000,3,Mar 2000,"CO","Nitrogen",TRUE,2015,2015,"Mountain",0.165
"58",2000,3,Mar 2000,"CT","Nitrogen",FALSE,NA,NA,"Northeast",0.1765
