"","...1","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"1",4,"Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","nitrate","10 mg/L","Weekly (using composite samples); Frequency of sampling may be increased if deemed necessary by the Department of Environmental Management","Alabama"
"2",7,"Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","nitrogen","not specified","Monitored weekly using composite samples","Alabama"
"3",19,"Disinfected tertiary (Food crops, including edible root crops, where the recycled water has contact with edible portion)","Domestic wastewater","nitrogen","not specified","Not specified","California"
"4",23,"Disinfected secondary-2.2 (Food crops where edible portion is produced above ground with no contact with recycled water)","Domestic wastewater","nitrogen","not specified","Not specified","California"
"5",26,"Disinfected secondary-23 (Ornamental nursery stock and sod farms where public access is not restricted; Pasture for animals producing milk for human consumption)","Domestic wastewater","nitrogen","not specified","Not specified","California"
"6",29,"Undisinfected secondary (Orchards and vineyards where the recycled water does not come into contact with the edible portion of the crop; Seed crops not eaten by humans; Non food-bearing trees provided irrigation does not occur 14 days prior to harvesting or public access; Food crops that undergo commercial pathogen-destroying processing before human consumption; Fodder and fiber crops; Ornamental nursery stock and sod farms provided irrigation does not occur 14 days prior to harvesting, retail sale, or public access)","Domestic wastewater","nitrogen","not specified","Not specified","California"
"7",41,"Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","nitrogen","agronomic","Not specified","Colorado"
"8",51,"Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","nitrogen","agronomic","Not specified","Colorado"
"9",60,"Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","nitrogen","agronomic","Not specified","Colorado"
"10",68,"Spray irrigation, unlimited public access","Municipal and domestic wastewater","nitrogen","agronomic","Not specified","Delaware"
"11",73,"Spray irrigation, limited public access","Municipal and domestic wastewater","nitrogen","agronomic","Not specified","Delaware"
"12",79,"Slow-rate Land Application Systems; Restricted Public Access (Application in areas used to grow feed, fodder, fiber or seed crops; Irrigation of sod farms, trees and pastureland)","Domestic wastewater","nitrogen","not specified",NA,"Florida"
"13",89,"Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","nitrogen","not specified",NA,"Florida"
"14",94,"Overland Flow Systems (Irrigation of terraced, sloped, vegetated surfaces, such as sod farms, forests, fodder crops, pasture lands and similar areas)","Domestic wastewater","nitrogen","not specified",NA,"Florida"
