"","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"1","Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","Chlorine","=1.0 mg/L entering distribution system

			=0.5 mg/L chlorine residual in the distribution system prior to transfer to storage ponds and/or distribution to customers","Total residual chlorine monitored daily after chlorination and upon entry to the distribution system. Monitoring in the distribution system conducted monthly unless an alternate frequency is approved or required by the Department of Environmental Management. Monitoring should occur at locations throughout the distribution system.","Alabama"
"2","Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","E. coli","=18 organisms/100 mL (median from last 7 days of results)

			=34 organisms/100 mL (single sample maximum)","Daily (unless an alternate frequency has been approved by the Department of Environmental Management)","Alabama"
"3","Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","Total Suspended Solids (TSS)","=30 (30-day average)","Weekly (using composite samples); frequency of sampling may be increased if deemed necessary by the Department of Environmental Management","Alabama"
"4","Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","Nitrate + nitrites","=10 mg/L (30-day average)","Weekly (using composite samples); Frequency of sampling may be increased if deemed necessary by the Department of Environmental Management","Alabama"
"5","Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","pH","=6.0

			=8.5","Daily as grab samples or continuous monitoring","Alabama"
"6","Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","5-day carbonaceous biochemical oxygen demand (CBOD5)a","=10 mg/L (30-day average)","Weekly (using composite samples); frequency of sampling may be increased if deemed necessary by the Department of Environmental Management","Alabama"
"7","Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","Total nitrogen","Not specified","Monitored weekly using composite samples","Alabama"
"8","Class B reclaimed water (crops not intended for human ingestion, pasture for animals not producing milk for human consumption)","Municipal wastewater","Total phosphorus","Not specified","Monitored weekly using composite samples","Alabama"
"9","Class A reclaimed water (food crops, spray irrigation of an orchard or vineyard)","Municipal wastewater","Turbidity","=2 NTU (24-hour average)

			=5 NTU (any time point)","Measured after filtration and immediately before disinfection","Arizona"
"10","Class A reclaimed water (food crops, spray irrigation of an orchard or vineyard)","Municipal wastewater","Fecal coliforms","0 organisms/100 mL (in four of the last seven daily samples)

			=23 organisms/100 mL (single sample maximum)","Measured after disinfection and immediately before discharge to reclaimed water distribution system","Arizona"
"11","Class A reclaimed water (food crops, spray irrigation of an orchard or vineyard)","Municipal wastewater","Enteric virusa","No detectable enteric virus in 4 of last 7 monthly samples","Monthly sampling","Arizona"
"12","Class B reclaimed water (surface irrigation of an orchard or vineyard)","Municipal wastewater","Fecal coliforms","<200 organisms/100 mL (in four of the last seven daily samples)

			<800 organisms/100 mL (single sample maximum)","Measured after disinfection and immediately before discharge to reclaimed water distribution system.","Arizona"
"13","Class C reclaimed water (crops not intended for human ingestion, pasture for non-dairy animals)","Municipal wastewater","Fecal coliforms","<1,000 organisms/100 mL (in four of the last seven daily samples)

			<4,000 organisms/100 mL (single sample maximum)","Measured after secondary treatment and before discharge to a reclaimed water distribution system. Secondary treatment includes a series of wastewater stabilization ponds, including aeration, with or without disinfection. The total retention time in wastewater stabilization ponds is at least 20 days.","Arizona"
"14","Disinfected tertiary (Food crops, including edible root crops, where the recycled water has contact with edible portion)","Domestic wastewater","Turbidity (if filtered by natural undisturbed soils or a bed of filter media pursuant to Cal. Code Regs. tit. 22, § 60301.320a)","=2 NTU (average within 24-hour period)

			=5 NTU (more than 5% of the time within a 24-hour period)

			=10 NTU (single sample maximum)","Continuous monitoring","California"
"15","Disinfected tertiary (Food crops, including edible root crops, where the recycled water has contact with edible portion)","Domestic wastewater","Turbidity (if filtered by microfiltration, ultrafiltration, nanofiltration, or reverse osmosis membrane)","=0.2 NTU (more than 5% of the time within a 24-hour period)

			=0.5 NTU (single sample maximum)","Continuous monitoring","California"
"16","Disinfected tertiary (Food crops, including edible root crops, where the recycled water has contact with edible portion)","Domestic wastewater","Total coliform","=2.2 MPN/100 mL (7-day median)

			=23 MPN/100 mL (does not exceed in more than one sample in 30-day period)

			=240 MPN/100 mL (single sample maximum)","At least once daily","California"
"17","Disinfected tertiary (Food crops, including edible root crops, where the recycled water has contact with edible portion)","Domestic wastewater","CTa","=450 milligram-minutes/L","Must be maintained at all times with a modal contact time of at least 90 minutes, based on peak dry weather design flow","California"
"18","Disinfected tertiary (Food crops, including edible root crops, where the recycled water has contact with edible portion)","Domestic wastewater","F-specific bacteriophage MS-2 or polio virusb,c","5-log removal","Must be demonstrated on filtered wastewater by disinfection process when combined with filtration process","California"
"19","Disinfected tertiary (Food crops, including edible root crops, where the recycled water has contact with edible portion)","Domestic wastewater","Nitrogend","Not specified","Not specified","California"
"20","Disinfected tertiary (Food crops, including edible root crops, where the recycled water has contact with edible portion)","Domestic wastewater","Phosphorusd","Not specified","Not specified","California"
"21","Disinfected secondary-2.2 (Food crops where edible portion is produced above ground with no contact with recycled water)","Domestic wastewater","Total coliform","=2.2 MPN/100 mL (7-day median)

			=23 MPN/100 mL (30-day median)

			=240 MPN/100 mL (single sample maximum)","At least once daily","California"
"22","Disinfected secondary-2.2 (Food crops where edible portion is produced above ground with no contact with recycled water)","Domestic wastewater","Dissolved oxygen",">0","Sampling frequency not specified","California"
"23","Disinfected secondary-2.2 (Food crops where edible portion is produced above ground with no contact with recycled water)","Domestic wastewater","Nitrogend","Not specified","Not specified","California"
"24","Disinfected secondary-2.2 (Food crops where edible portion is produced above ground with no contact with recycled water)","Domestic wastewater","Phosphorusd","Not specified","Not specified","California"
"25","Disinfected secondary-23 (Ornamental nursery stock and sod farms where public access is not restricted; Pasture for animals producing milk for human consumption)","Domestic wastewater","Total coliform","=23 MPN/100 mL (7-day median)

			=240 MPN/100 mL (does not exceed in more than one sample in 30-day period)","At least once daily","California"
"26","Disinfected secondary-23 (Ornamental nursery stock and sod farms where public access is not restricted; Pasture for animals producing milk for human consumption)","Domestic wastewater","Nitrogend","Not specified","Not specified","California"
"27","Disinfected secondary-23 (Ornamental nursery stock and sod farms where public access is not restricted; Pasture for animals producing milk for human consumption)","Domestic wastewater","Phosphorusd","Not specified","Not specified","California"
"28","Undisinfected secondary (Orchards and vineyards where the recycled water does not come into contact with the edible portion of the crop; Seed crops not eaten by humans; Non food-bearing trees provided irrigation does not occur 14 days prior to harvesting or public access; Food crops that undergo commercial pathogen-destroying processing before human consumption; Fodder and fiber crops; Ornamental nursery stock and sod farms provided irrigation does not occur 14 days prior to harvesting, retail sale, or public access)","Domestic wastewater","Dissolved oxygen",">0","Sampling frequency not specified","California"
"29","Undisinfected secondary (Orchards and vineyards where the recycled water does not come into contact with the edible portion of the crop; Seed crops not eaten by humans; Non food-bearing trees provided irrigation does not occur 14 days prior to harvesting or public access; Food crops that undergo commercial pathogen-destroying processing before human consumption; Fodder and fiber crops; Ornamental nursery stock and sod farms provided irrigation does not occur 14 days prior to harvesting, retail sale, or public access)","Domestic wastewater","Nitrogend","Not specified","Not specified","California"
"30","Undisinfected secondary (Orchards and vineyards where the recycled water does not come into contact with the edible portion of the crop; Seed crops not eaten by humans; Non food-bearing trees provided irrigation does not occur 14 days prior to harvesting or public access; Food crops that undergo commercial pathogen-destroying processing before human consumption; Fodder and fiber crops; Ornamental nursery stock and sod farms provided irrigation does not occur 14 days prior to harvesting, retail sale, or public access)","Domestic wastewater","Phosphorusd","Not specified","Not specified","California"
"31","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","E. coli","0 detected in at least 75% of samples (per calendar month)

			=126 E. coli/100 mL (single sample maximum)","4 grab samples per 7 days","Colorado"
"32","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Turbidity","=3 NTU (monthly average)

			5 NTU (cannot exceed in more than 5% of results per month)","1 reading per 12 hours of operation","Colorado"
"33","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","UV dose","=40 mJ/cm2","Disinfection requirement","Colorado"
"34","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Enteric viruses","5-log inactivation","Disinfection requirement","Colorado"
